"canonical_id","question_type","assigned_color","behavioral_domain","context","intensity","assignment_confidence","quality_classifications","english"
"0309c2cb-91b4-4ac4-936f-051fd9a9c18c","likert","yellow","decision-making","unfamiliar-situation","mild","HIGH","CLEAR","I consider how change might affect relationships before moving forward."
"039de60f-9c76-45f4-9061-147a51745e0f","likert","red","conflict","pressure","mild","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|SEMANTICALLY_OVERLAPPING|COLOR_ASSIGNMENT_QUESTIONABLE","I’m comfortable being the one who takes the heat if a decision doesn’t work out."
"04cb4f9d-f1e1-476a-862c-b1c7c18faaaf","likert","yellow","social-interaction","team","strong","MODERATE","MINOR_WORDING_ISSUE|SOCIAL_DESIRABILITY_RISK|CONTEXT_DEPENDENT|COLOR_ASSIGNMENT_QUESTIONABLE","It is important to me that social settings always ensure everyone feels included and comfortable.
"
"092ef69e-a476-4451-a770-a879e8723fae","single","","decision-making","personal-preference","moderate","HIGH","CLEAR","When a decision needs to be made, I usually…"
"0a24caa5-8413-49e7-a56f-9999f4e50879","single","","conflict","conflict","moderate","HIGH","CLEAR","If someone is upset with me, I tend to…"
"0e761ffa-caa5-4505-a28c-3387445e805e","likert","yellow","cooperation-support","personal-preference","moderate","HIGH","CLEAR","I feel uneasy benefiting if it means someone else is treated unfairly."
"0eaa09f4-95af-45a6-9846-13202a795033","likert","green","risk-change","personal-preference","moderate","HIGH","CLEAR","I prefer steady, predictable income over high-risk opportunities."
"0f42f5e4-1703-416f-863a-e46b511b19d8","likert","yellow","risk-change","unfamiliar-situation","moderate","MODERATE","CONTEXT_DEPENDENT|POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I’m careful not to rush change if people around me aren’t ready."
"0ff7b326-c6ce-4cd5-994e-5ce1b6b78552","single","","communication","work-business","moderate","HIGH","CLEAR","My ideal workday feels like…"
"10c0c4fb-2eca-474f-bc81-50229d945b34","likert","green","social-interaction","social","moderate","HIGH","CLEAR","I enjoy social events more when I know what to expect ahead of time."
"12783d10-ecb1-400c-97bb-edb5a458caef","likert","blue","planning-organization","planning","moderate","LOW","AMBIGUOUS|COLOR_ASSIGNMENT_QUESTIONABLE","I get restless if I’m stuck at home too long without something fun planned."
"14135310-4169-47af-bbc7-8d1345b2b51c","likert","yellow","cooperation-support","team","moderate","LOW","SOCIAL_DESIRABILITY_RISK|AMBIGUOUS|COLOR_ASSIGNMENT_QUESTIONABLE","I like routines that help things run smoothly for everyone involved."
"16d86da0-614b-4c2f-a935-51e08ab09baa","single","","planning-organization","planning","moderate","HIGH","CLEAR","When plans change suddenly, I…"
"17d21643-7826-47e6-b115-79d0a74fa33c","likert","green","decision-making","planning","moderate","HIGH","SEMANTICALLY_OVERLAPPING","I’m more confident moving forward when there’s a clear plan instead of improvising."
"186c99bb-b666-4a64-a85e-955e84388dcb","single","","conflict","conflict","moderate","HIGH","CLEAR","Your natural reaction to conflict is:"
"199f9df0-be56-402e-a98c-8b1b8e4518af","likert","red","conflict","pressure","mild","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|SEMANTICALLY_OVERLAPPING|COLOR_ASSIGNMENT_QUESTIONABLE","I’m comfortable being the one who takes the heat if a decision doesn’t work out."
"1afbc3be-b62d-44cd-a335-a75d7cc9655c","likert","blue","planning-organization","personal-preference","moderate","HIGH","CLEAR","Too much structure makes me feel boxed in or restless."
"1babc919-9400-4599-8b87-fdca1602b19e","likert","yellow","social-interaction","team","moderate","HIGH","SOCIAL_DESIRABILITY_RISK","I enjoy bringing people together and helping everyone feel connected."
"1bac0735-73c1-43b1-86a8-41ec34adfd86","likert","green","planning-organization","planning","mild","LOW","AMBIGUOUS|COLOR_ASSIGNMENT_QUESTIONABLE","I get uncomfortable when things feel disorganized or unclear."
"1bde0c6b-3fa1-4740-8799-338b6dc42f98","likert","yellow","cooperation-support","personal-preference","mild","HIGH","MINOR_WORDING_ISSUE","I care a lot about being fair, even when it’s uncomfortable.
"
"2171df8f-e7e0-4de3-90f8-eaa1d186e9f1","likert","red","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","I enjoy measuring progress through income, rank, or performance."
"222b3445-8da7-4fba-9f97-e64240c4e75b","likert","blue","rules-process","personal-preference","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|SEMANTICALLY_OVERLAPPING|COLOR_ASSIGNMENT_QUESTIONABLE","I’m more productive when I enjoy the process, not just the outcome."
"22bfd6a8-b54b-442c-8ec6-888f9cefe1d0","likert","green","rules-process","personal-preference","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I like having systems in place so I don’t have to guess what to do next."
"24b34387-e0fb-42c6-8ee9-5609dff49dc1","likert","green","social-interaction","social","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I’m selective about social events and don’t feel the need to attend everything."
"24c90a2c-32e9-4a0d-8518-7c0e659e3f65","likert","red","leadership-influence","leadership","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I don’t mind a little chaos if it leads to progress."
"27df6129-27a7-42e5-8cbb-12fb5007190a","single","","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","I’d rather be…"
"28c5ada7-9157-449c-927b-212170e6296f","likert","green","decision-making","personal-preference","moderate","HIGH","SEMANTICALLY_OVERLAPPING","I prefer to think through possible outcomes before committing to a direction."
"29efc415-38e9-408a-aa7b-4d46f6996c20","likert","red","pace-action","team","strong","LOW","AMBIGUOUS|SEMANTICALLY_OVERLAPPING|COLOR_ASSIGNMENT_QUESTIONABLE","I feel responsible for keeping things moving when others in the group hesitate."
"2defbffe-826b-42a3-a027-dcfc98677739","likert","green","social-interaction","work-business","moderate","HIGH","CLEAR","I prefer working steadily rather than in bursts of energy."
"2df82369-1df5-407a-be21-1dff3ccb59d5","likert","green","risk-change","unfamiliar-situation","moderate","HIGH","CLEAR","Unexpected changes tend to make me feel uneasy."
"30031eb0-f025-4b1a-b4e6-a9455967f735","likert","yellow","independence-follow-through","personal-preference","moderate","HIGH","CLEAR","I’m motivated to follow through when others are counting on me."
"32eff408-9a02-4372-8f53-0289f79f07ae","likert","red","cooperation-support","personal-preference","moderate","HIGH","CLEAR","I trust my ability to handle problems as they come up."
"34202350-60a2-45e1-b4b8-bf0fa471d020","likert","green","communication","social","moderate","HIGH","CLEAR","I prefer meaningful conversations over small talk at social events."
"36041a0f-a82d-4c66-96f1-973ea25a3daf","likert","blue","emotional-expression","personal-preference","strong","LOW","SOCIAL_DESIRABILITY_RISK|AMBIGUOUS|POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I get excited starting things, but I don’t always enjoy the follow-through."
"3b6479df-3e88-473b-85d7-731fe1083b4a","likert","green","general-behavioral-preference","personal-preference","moderate","HIGH","CLEAR","I like breaking big tasks into clear, manageable steps."
"3b9a1aa5-09ba-4bb9-b3c9-c8033791974c","likert","green","risk-change","unfamiliar-situation","moderate","HIGH","CLEAR","I like to understand every option fully before making a change."
"3bb2ff0b-1bac-4bc0-a4d4-5e75387751f0","single","","problem-solving-learning","personal-preference","moderate","HIGH","CLEAR","I learn best when…"
"3dc580d8-8ac6-4af0-b4c4-7dc2559f9fed","likert","red","general-behavioral-preference","communication","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I’d rather have a difficult but honest conversation than avoid an issue."
"4043bf30-62cb-4968-ba6e-85c7a554d894","likert","blue","cooperation-support","personal-preference","moderate","HIGH","CLEAR","I value emotional openness more than formal boundaries in relationships."
"40ff71e9-a36f-4f66-8193-e8a7aef0b6c3","likert","green","decision-making","personal-preference","moderate","HIGH","SEMANTICALLY_OVERLAPPING","I prefer to think through possible outcomes before committing to a direction."
"44a6b54a-9864-4137-bdec-50ba8cbb0bb5","likert","yellow","social-interaction","personal-preference","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|SEMANTICALLY_OVERLAPPING|COLOR_ASSIGNMENT_QUESTIONABLE","I’m motivated when I feel connected to the people involved, not just the task."
"4a55dabb-d73c-41a5-88c1-b997f91ff950","likert","green","pace-action","personal-preference","moderate","HIGH","CLEAR","Large or noisy gatherings drain me faster than smaller, quieter ones."
"4a7016b7-648a-45a7-8b3b-0047215b2270","likert","yellow","cooperation-support","personal-preference","moderate","HIGH","SEMANTICALLY_OVERLAPPING","I’m willing to compromise on speed if it helps maintain trust."
"4afceb5f-2cbf-4027-91b4-2fe0440b5225","likert","yellow","social-interaction","personal-preference","moderate","MODERATE","POSSIBLE_REVERSE_INTERPRETATION|COLOR_ASSIGNMENT_QUESTIONABLE","I try to stay consistent so I don’t let people down."
